District Name,City,County Name
21st Century Cyber Cs,Exton,Chester
A W Beattie Career Center,Allison Park,Allegheny
Abington Heights School District,Clarks Summit,Lackawanna
Abington School District,Abington,Montgomery
Achievement House Cs,Exton,Chester
Act Academy Cyber Cs,Philadelphia,Philadelphia
Ad Prima Cs,Philadelphia,Philadelphia
Admiral Peary Avts School District,Ebensburg,Cambria
Agora Cyber Cs,Wayne,Chester
Albert Gallatin Area School District,Uniontown,Fayette
Aliquippa School District,Aliquippa,Beaver
Allegheny Valley School District,Cheswick,Allegheny
Allegheny-Clarion Valley School District,Foxburg,Clarion
Allentown City School District,Allentown,Lehigh
Alliance For Progress Cs,Philadelphia,Philadelphia
Altoona Area School District,Altoona,Blair
Ambridge Area School District,Ambridge,Beaver
Annville-Cleona School District,Annville,Lebanon
Antietam School District,Reading,Berks
Antonia Pantoja Community Charter School,Philadelphia,Philadelphia
Apollo-Ridge School District,Spring Church,Armstrong
Arise Academy Charter High School,Philadelphia,Philadelphia
Armstrong School District,Kittanning,Armstrong
Arts Academy Cs,Allentown,Lehigh
Aspira Bilingual Cyber Charter School,Philadelphia,Philadelphia
Athens Area School District,Athens,Bradford
Austin Area School District,Austin,Potter
Avella Area School District,Avella,Washington
Avon Grove School District,West Grove,Chester
Avonworth School District,Pittsburgh,Allegheny
Baden Academy Cs,Baden,Beaver
Bald Eagle Area School District,Wingate,Centre
Baldwin-Whitehall School District,Pittsburgh,Allegheny
Bangor Area School District,Bangor,Northampton
Bear Creek Community Cs,Wilkes-Barre,Luzerne
Beaver Area Academic Cs,Beaver,Beaver
Beaver Area School District,Beaver,Beaver
Beaver County Career And Technical Center,Monaca,Beaver
Bedford Area School District,Bedford,Bedford
Bedford County Technical Center,Everett,Bedford
Belle Vernon Area School District,Belle Vernon,Westmoreland
Bellefonte Area School District,Bellefonte,Centre
Bellwood-Antis School District,Bellwood,Blair
Belmont Academy Charter School,Philadelphia,Philadelphia
Belmont Charter School,Philadelphia,Philadelphia
Bensalem Township School District,Bensalem,Bucks
Benton Area School District,Benton,Columbia
Bentworth School District,Bentleyville,Washington
Berks Career And Technical Center,Leesport,Berks
Berlin Brothersvalley School District,Berlin,Somerset
Bermudian Springs School District,York Springs,Adams
Berwick Area School District,Berwick,Luzerne
Bethel Park School District,Bethel Park,Allegheny
Bethlehem Area School District,Bethlehem,Northampton
Bethlehem Avts School District,Bethlehem,Northampton
Bethlehem-Center School District,Fredericktown,Washington
Big Beaver Falls Area School District,Beaver Falls,Beaver
Big Spring School District,Newville,Cumberland
Birney Preparatory Academy,Philadelphia,Philadelphia
Blackhawk School District,Beaver Falls,Beaver
Blacklick Valley School District,Nanty Glo,Cambria
Blairsville-Saltsburg School District,Blairsville,Indiana
Bloomsburg Area School District,Bloomsburg,Columbia
Blue Mountain School District,Orwigsburg,Schuylkill
Blue Ridge School District,New Milford,Susquehanna
Boyertown Area School District,Boyertown,Berks
Boys Latin Of Philadelphia Cs,Philadelphia,Philadelphia
Bradford Area School District,Bradford,Mckean
Brandywine Heights Area School District,Topton,Berks
Brentwood Borough School District,Pittsburgh,Allegheny
Bristol Borough School District,Bristol,Bucks
Bristol Township School District,Levittown,Bucks
Brockway Area School District,Brockway,Jefferson
Brookville Area School District,Brookville,Jefferson
Brownsville Area School District,Brownsville,Fayette
Bucks County Montessori Cs,Fairless Hills,Bucks
Bucks County Technical High School,Fairless Hills,Bucks
Burgettstown Area School District,Burgettstown,Washington
Burrell School District,Lower Burrell,Westmoreland
Butler Area School District,Butler,Butler
Butler County Avts School District,Butler,Butler
California Area School District,Coal Center,Washington
Cambria Heights School District,Patton,Cambria
Cameron County School District,Emporium,Cameron
Camp Hill School District,Camp Hill,Cumberland
Canon-Mcmillan School District,Canonsburg,Washington
Canton Area School District,Canton,Bradford
Capital Area School For The Arts Charter School,Harrisburg,Dauphin
Carbon Career & Technical Institute School District,Jim Thorpe,Carbon
Carbondale Area School District,Carbondale,Lackawanna
Career And Technical Center Of Lackawanna County,Scranton,Lackawanna
Career Connections Chs,Pittsburgh,Allegheny
Career Institute Of Technology School District,Easton,Northampton
Carlisle Area School District,Carlisle,Cumberland
Carlynton School District,Carnegie,Allegheny
Carmichaels Area School District,Carmichaels,Greene
Catasauqua Area School District,Catasauqua,Lehigh
Centennial School District,Warminster,Bucks
Center For Student Learning Cs At Pennsbury,Levittown,Bucks
Central Bucks School District,Doylestown,Bucks
Central Cambria School District,Ebensburg,Cambria
Central Columbia School District,Bloomsburg,Columbia
Central Dauphin School District,Harrisburg,Dauphin
Central Fulton School District,Mcconnellsburg,Fulton
Central Greene School District,Waynesburg,Greene
Central Montco Technical High School,Plymouth Meeting,Montgomery
Central Pa Institute Of Science & Technology School District,Pleasant Gap,Centre
Central Valley School District,Monaca,Beaver
Central Westmoreland Career And Technical Center,New Stanton,Westmoreland
Central York School District,York,York
Centre Learning Community Cs,State College,Centre
Chambersburg Area School District,Chambersburg,Franklin
Charleroi School District,Charleroi,Washington
Charter High School For Architecture And Design,Philadelphia,Philadelphia
Chartiers Valley School District,Pittsburgh,Allegheny
Chartiers-Houston School District,Houston,Washington
Cheltenham Township School District,Elkins Park,Montgomery
Chester Community Cs,Chester,Delaware
Chester County Family Academy Cs,West Chester,Chester
Chester County Technical College High School,Downingtown,Chester
Chester Cs For The Arts School District,Aston,Delaware
Chester-Upland School District,Chester,Delaware
Chestnut Ridge School District,Fishertown,Bedford
Chichester School District,Aston,Delaware
Christopher Columbus Cs,Philadelphia,Philadelphia
Circle Of Seasons Charter School,Fogelsville,Lehigh
City Chs,Pittsburgh,Allegheny
Clairton City School District,Clairton,Allegheny
Clarion Area School District,Clarion,Clarion
Clarion County Career Center,Shippenville,Clarion
Clarion-Limestone Area School District,Strattanville,Clarion
Claysburg-Kimmel School District,Claysburg,Blair
Clearfield Area School District,Clearfield,Clearfield
Clearfield County Career And Technical Center,Clearfield,Clearfield
Coatesville Area School District,Coatesville,Chester
Cocalico School District,Denver,Lancaster
Collegium Cs,Exton,Chester
Colonial School District,Plymouth Meeting,Montgomery
Columbia Borough School District,Columbia,Lancaster
Columbia-Montour Avts School District,Bloomsburg,Columbia
Commodore Perry School District,Hadley,Mercer
Commonwealth Connections Academy Cs,Harrisburg,Dauphin
Community Academy Of Philadelphia Cs,Philadelphia,Philadelphia
Conemaugh Township Area School District,Davidsville,Somerset
Conemaugh Valley School District,Johnstown,Cambria
Conestoga Valley School District,Lancaster,Lancaster
Conewago Valley School District,New Oxford,Adams
Conneaut School District,Linesville,Crawford
Connellsville Area Career & Technical Center,Connellsville,Fayette
Connellsville Area School District,Connellsville,Fayette
Conrad Weiser Area School District,Robesonia,Berks
Cornell School District,Coraopolis,Allegheny
Cornwall-Lebanon School District,Lebanon,Lebanon
Corry Area School District,Corry,Erie
Coudersport Area School District,Coudersport,Potter
Council Rock School District,Newtown,Bucks
Cranberry Area School District,Seneca,Venango
Crawford Central School District,Meadville,Crawford
Crawford County Career And Technical Center,Meadville,Crawford
Cresson Secure Treatment Unit School District,Cresson,Cambria
Crestwood School District,Mountain Top,Luzerne
Crispus Attucks Youthbuild Cs,York,York
Cumberland Perry Avts School District,Mechanicsburg,Cumberland
Cumberland Valley School District,Mechanicsburg,Cumberland
Curwensville Area School District,Curwensville,Clearfield
Dallas School District,Dallas,Luzerne
Dallastown Area School District,Dallastown,York
Daniel Boone Area School District,Birdsboro,Berks
Danville Area School District,Danville,Montour
Danville Ctr Adolescent Female,Danville,Montour
Dauphin County Technical School,Harrisburg,Dauphin
Deer Lakes School District,Cheswick,Allegheny
Delaware County Technical High School,Folcroft,Delaware
Delaware Valley Chs,Philadelphia,Philadelphia
Delaware Valley School District,Milford,Pike
Derry Area School District,Derry,Westmoreland
Derry Township School District,Hershey,Dauphin
Discovery Charter School,Philadelphia,Philadelphia
Donegal School District,Mount Joy,Lancaster
Dover Area School District,Dover,York
Downingtown Area School District,Downingtown,Chester
Dr Robert Ketterer Cs Inc.,Latrobe,Westmoreland
Dubois Area School District,Dubois,Clearfield
Dunmore School District,Dunmore,Lackawanna
Duquesne City School District,Duquesne,Allegheny
East Allegheny School District,North Versailles,Allegheny
East Lycoming School District,Hughesville,Lycoming
East Penn School District,Emmaus,Lehigh
East Pennsboro Area School District,Enola,Cumberland
East Stroudsburg Area School District,East Stroudsburg,Monroe
Eastern Center For Arts & Technology,Willow Grove,Montgomery
Eastern Lancaster County School District,New Holland,Lancaster
Eastern Lebanon County School District,Myerstown,Lebanon
